Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,,,
,,,,,
Banco Central de Honduras,,,,,
Departamento de Operaciones Cambiarias,,,,,
"Ingresos por Remesas Familiares, Según  Municipio, 2020-2025",,,,,
(en USD),,,,,
,,,,,
AÑO,Mes,Departamento,Municipio,Monto,Beneficiario 
2020,Enero,Olancho,Santa Maria del Real,1148.02,2
2020,Enero,Olancho,La Union,1097.91,3
2020,Enero,Olancho,Salama,589.01,3
2020,Enero,Olancho,Guata,588.83,1
2020,Enero,Olancho,Guayape,104.08,1
2020,Enero,Olancho,Patuca,99.99,1
2020,Enero,Olancho,Esquipulas del Norte,60.03,1
2020,Enero,Copán,Santa Rosa de Copan,7299660.790000006,13696
2020,Enero,Copán,Nueva Arcadia,1580362.96,6462
2020,Enero,Copán,Santa Rita,418059.2399999999,1647
2020,Enero,Copán,Cucuyagua,329503.55,1276
2020,Enero,Copán,Copan Ruinas,18575.29,76
2020,Enero,Copán,Florida,7261.74,101
2020,Enero,Copán,Corquin,6691.8,18
2020,Enero,Copán,San Antonio,1616.76,2
2020,Enero,Copán,Dulce Nombre,1318.85,8
2020,Enero,Copán,Concepcion,799.99,1
2020,Enero,Copán,Cabañas,699.99,1
2020,Enero,Copán,San Nicolas,633.05,2
2020,Enero,Copán,La Jigua,450,1
2020,Enero,Copán,Trinidad de Copan,198.19,2
2020,Enero,Copán,San Pedro,175,1
2020,Enero,Copán,El Paraiso,80,1
2020,Enero,Copán,Dolores,50,1
2020,Enero,Valle,Nacaome,5691022.54000001,13007
2020,Enero,Valle,San Lorenzo,2101680.02,6691
2020,Enero,Valle,Aramecina,1729.92,3
2020,Enero,Valle,Langue,1517.56,2
2020,Enero,Valle,Alianza,985.2,3
2020,Enero,Valle,Caridad,900,2
2020,Enero,Valle,Amapala,412,1
2020,Enero,Valle,Goascoran,89.87,2
2020,Enero,El Paraíso,Danli,2920058.980000003,8510
2020,Enero,El Paraíso,Yuscaran,2722159.760000001,4980
2020,Enero,El Paraíso,Trojes,55812.57000000001,264
2020,Enero,El Paraíso,Alauca,43434.4,99
2020,Enero,El Paraíso,El Paraiso,7890.52,45
2020,Enero,El Paraíso,Guinope,1130.01,1
2020,Enero,El Paraíso,Soledad,1100,1
2020,Enero,El Paraíso,San Antonio de Flores,303.74,2
2020,Enero,Santa Bárbara,Santa Barbara,4266859.780000007,9519
2020,Enero,Santa Bárbara,Quimistan,753996.5599999996,2965
2020,Enero,Santa Bárbara,Azacualpa,132066.6,609
2020,Enero,Santa Bárbara,Petoa,61632.59,279
2020,Enero,Santa Bárbara,Trinidad,49012.47,269
2020,Enero,Santa Bárbara,Macuelizo,39526.5,122
2020,Enero,Santa Bárbara,San Marcos,10771,46
2020,Enero,Santa Bárbara,San Jose de Colinas,10723.95,52
2020,Enero,Santa Bárbara,San Pedro Zacapa,9099.220000000001,61
2020,Enero,Santa Bárbara,Naranjito,8499,87
2020,Enero,Santa Bárbara,San Luis,3190.69,7
2020,Enero,Santa Bárbara,Las Vegas,1207.21,4
2020,Enero,Santa Bárbara,Proteccion,897.31,2
2020,Enero,Santa Bárbara,Arada,406,1
2020,Enero,Santa Bárbara,Atima,301.81,3
2020,Enero,Santa Bárbara,Santa Rita,299.4,1
2020,Enero,Santa Bárbara,Nueva Celilac,170,1
2020,Enero,Santa Bárbara,Concepcion del Sur,100,1
2020,Enero,Santa Bárbara,Concepcion del Norte,99.99,1
2020,Enero,Santa Bárbara,San Nicolas,50,1
2020,Enero,Santa Bárbara,Ilama,50,1
2020,Enero,Intibucá,La Esperanza,4572588.12,7875
2020,Enero,Intibucá,Jesus de Otoro,208115.86,978
