"GID_1","NAME_1","GID_2","NAME_2","lon","lat"
"HND.5_1","Copán","HND.5.15_1","San Jerónimo",-88.8958397156182,14.9491542619104
"HND.5_1","Copán","HND.5.16_1","San José",-88.7057531309324,14.8959072998502
"HND.5_1","Copán","HND.5.17_1","San Juan de Opoa",-88.7012006036541,14.796405141682
"HND.5_1","Copán","HND.5.18_1","San Nicolás",-88.7368057359831,14.9849661003864
"HND.5_1","Copán","HND.5.19_1","San Pedro",-88.800208171671,14.6026233977568
"HND.5_1","Copán","HND.5.20_1","Santa Rita",-89.0263523560877,14.8761402558083
"HND.5_1","Copán","HND.5.21_1","Santa Rosa de Copán",-88.768862932047,14.7776953675515
"HND.5_1","Copán","HND.5.22_1","Trinidad",-88.7690377600052,14.9339582871595
"HND.5_1","Copán","HND.5.23_1","Veracruz",-88.782492230204,14.8706321008278
"HND.6_1","Cortés","HND.6.1_1","Choloma",-87.9339966623196,15.6413294264
"HND.6_1","Cortés","HND.6.2_1","La Lima",-87.8671438114832,15.4818129481515
"HND.6_1","Cortés","HND.6.3_1","Omoa",-88.1753463693128,15.6657485492563
"HND.6_1","Cortés","HND.6.4_1","Pimienta",-87.9705712544098,15.262506793494
"HND.6_1","Cortés","HND.6.5_1","Potrerillos",-87.9550890066498,15.1835628281637
"HND.6_1","Cortés","HND.6.6_1","Puerto Cortés",-87.8519396666922,15.7893983674707
"HND.6_1","Cortés","HND.6.7_1","San Antonio de Cortés",-88.0205677643,15.1217569345088
"HND.6_1","Cortés","HND.6.8_1","San Francisco de Yojoa",-87.9826142979859,15.0120863764644
"HND.6_1","Cortés","HND.6.9_1","San Manuel",-87.9014046955027,15.3677266184985
"HND.6_1","Cortés","HND.6.10_1","San Pedro Sula",-88.1182766384984,15.509244791799
"HND.6_1","Cortés","HND.6.11_1","Santa Cruz de Yojoa",-87.8804687313139,14.9890986797588
"HND.6_1","Cortés","HND.6.12_1","Villanueva",-88.0470587746177,15.3194971675767
"HND.7_1","El Paraíso","HND.7.1_1","Alauca",-86.6962694634214,13.8298812127946
"HND.7_1","El Paraíso","HND.7.2_1","Danlí",-86.3788324726345,14.0962471574101
"HND.7_1","El Paraíso","HND.7.3_1","El Paraíso",-86.5162758533978,13.8431602624027
"HND.7_1","El Paraíso","HND.7.4_1","Guinope",-86.9478213333772,13.8610319018628
"HND.7_1","El Paraíso","HND.7.5_1","Jacaleapa",-86.6945909899097,14.0354233616316
"HND.7_1","El Paraíso","HND.7.6_1","Liure",-87.0589102188647,13.5474574263226
"HND.7_1","El Paraíso","HND.7.7_1","Morocelí",-86.8626253568328,14.1376364401849
"HND.7_1","El Paraíso","HND.7.8_1","Oropolí",-86.8386050889241,13.81090895255
"HND.7_1","El Paraíso","HND.7.9_1","Potrerillos",-86.7655069405959,14.0419098953583
