Year,codDeptoNac,codMunNac,codDepto,codMun,in_city,capital,sps,other_main,N,USD
2020,1,2,8,24,0,0,0,0,1,49.9
2020,1,2,3,21,0,0,0,0,3,1863
2020,1,2,3,19,0,0,0,0,1,100.03
2020,1,2,3,6,0,0,0,0,1,100
2020,1,2,15,1,0,0,0,1,14,4576.17
2020,1,2,3,1,0,0,0,1,24,45738.32
2020,1,2,16,16,0,0,0,0,2,264.99
2020,1,2,3,13,0,0,0,0,1,328
2020,1,2,10,2,0,0,0,0,1,150
2020,1,2,11,2,0,0,0,0,6,1425.26
2020,1,2,3,18,0,0,0,0,17,77967.29
2020,1,2,2,2,0,0,0,0,1,50
2020,1,2,17,9,0,0,0,0,1,543
2020,1,2,12,1,0,0,0,1,3,815.99
2020,1,2,18,8,0,0,0,0,6,3410.47
2020,1,2,7,3,0,0,0,0,11,22618.82
2020,1,2,7,1,0,0,0,1,9,13669.29
2020,1,2,2,8,0,0,0,0,50,37031.42
2020,1,2,5,12,0,0,0,0,30,10711.03
2020,1,2,14,1,0,0,0,1,17,11923
2020,1,2,5,10,0,0,0,0,10,4410.71
2020,1,2,5,11,0,0,0,0,42,31421.27
2020,1,2,10,1,0,0,0,1,163,114492.02
2020,1,2,17,1,0,0,0,1,39,33530.35
2020,1,2,5,6,0,0,0,0,28,25562.46
2020,1,2,8,6,0,0,0,0,2,1693.99
2020,1,2,18,6,0,0,0,0,3,1056.7
2020,1,2,8,1,0,1,0,0,1767,2539586.7
2020,1,2,6,1,0,0,0,1,17,14855.98
2020,1,2,2,1,0,0,0,1,161,249146.29
2020,1,2,1,3,0,0,0,0,4,1591.08
2020,1,2,16,1,0,0,0,1,7,910.98
2020,1,2,1,7,0,0,0,0,67,54445.91
2020,1,2,8,2,0,0,0,0,1,378.72
2020,1,2,16,4,0,0,0,0,1,140
2020,1,2,7,4,0,0,0,0,1,100
2020,1,2,2,6,0,0,0,0,3,584.25
2020,1,2,15,17,0,0,0,0,2,640.05
2020,1,2,1,1,0,0,0,1,3485,6285079.72
2020,1,2,16,18,0,0,0,0,6,5395.03
2020,1,2,5,9,0,0,0,0,2,1821.03
2020,1,2,2,5,0,0,0,0,43,51924.55
2020,1,2,14,13,0,0,0,0,3,2089.04
2020,1,2,1,2,1,0,0,0,26,14434.8
2020,1,2,4,6,0,0,0,0,2,135
2020,1,2,2,9,0,0,0,0,47,27926.51
2020,1,2,13,1,0,0,0,1,3,667
2020,1,2,4,13,0,0,0,0,2,112
2020,1,2,15,8,0,0,0,0,2,930
2020,1,2,5,3,0,0,0,0,8,7476.32
2020,1,2,4,1,0,0,0,1,13,20916.85
2020,1,2,5,2,0,0,0,0,48,22953.02
2020,1,2,4,10,0,0,0,0,1,127.92
2020,1,2,1,5,0,0,0,0,110,91409.48
2020,1,2,11,1,0,0,0,1,161,90270.42
2020,1,2,18,7,0,0,0,0,43,31923.96
2020,1,3,5,2,0,0,0,0,288,276237.17
2020,1,3,14,13,0,0,0,0,15,19715.54
2020,1,3,5,9,0,0,0,0,5,2723.56
2020,1,3,8,6,0,0,0,0,3,730
2020,1,3,13,1,0,0,0,1,15,16508.57
2020,1,3,17,9,0,0,0,0,8,25238.82
2020,1,3,2,3,0,0,0,0,4,1917.68
2020,1,3,10,6,0,0,0,0,1,978
2020,1,3,18,6,0,0,0,0,33,34044.92
2020,1,3,10,1,0,0,0,1,162,149958.62
2020,1,3,3,19,0,0,0,0,3,6363
2020,1,3,2,8,0,0,0,0,42,31600.58
2020,1,3,6,1,0,0,0,1,40,51221.66
2020,1,3,10,7,0,0,0,0,1,250
